,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1270,30100,BLOODCHO,RESP046,"[[83.97, nan, nan, nan, nan, nan, nan], [80.52, nan, nan, nan, nan, nan, nan]]","[0, 0, 83.97]",00
1271,30100,Custom_8,Custom_8,"[[41.39573657258545, nan, nan, nan, nan, nan, nan], [37.168099818261965, nan, nan, nan, nan, nan, nan]]","[0, 0, 41.39573657258545]",00
1272,30100,Custom_9,Custom_9,"[[57.95, nan, nan, nan, nan, nan, nan], [50.71775968319636, nan, nan, nan, nan, nan, nan]]","[0, 0, 57.95]",00
1273,30100,DIABETE3,RESP046,"[[7.64, nan, nan, nan, nan, nan, nan], [6.13, nan, nan, nan, nan, nan, nan]]","[0, 0, 7.64]",00
1274,30100,DRNKANY5,RESP046,"[[61.39, nan, nan, nan, nan, nan, nan], [57.72, nan, nan, nan, nan, nan, nan]]","[0, 0, 61.39]",00
1275,30100,_HCVU651,RESP046,"[[82.63, nan, nan, nan, nan, nan, nan], [78.96, nan, nan, nan, nan, nan, nan]]","[0, 0, 82.63]",00
1276,30100,_RFHLTH,RESP061,"[[87.5, nan, nan, nan, nan, nan, nan], [85.34, nan, nan, nan, nan, nan, nan]]","[0, 0, 87.5]",00
1277,30100,_RFHYPE5,RESP046,"[[30.91, nan, nan, nan, nan, nan, nan], [27.79, nan, nan, nan, nan, nan, nan]]","[0, 0, 30.91]",00
1278,30100,_RFSMOK3,RESP046,"[[17.77, nan, nan, nan, nan, nan, nan], [14.83, nan, nan, nan, nan, nan, nan]]","[0, 0, 17.77]",00
1279,30100,_TOTINDA,RESP046,"[[80.77, nan, nan, nan, nan, nan, nan], [77.95, nan, nan, nan, nan, nan, nan]]","[0, 0, 80.77]",00
1280,30300,BLOODCHO,RESP046,"[[80.88, nan, nan, nan, nan, nan, nan], [72.9, nan, nan, nan, nan, nan, nan]]","[0, 0, 80.88]",00
1281,30300,Custom_9,Custom_9,"[[65.61, nan, nan, nan, nan, nan, nan], [48.28361549543587, nan, nan, nan, nan, nan, nan]]","[0, 0, 65.61]",00
1282,30300,DIABETE3,RESP046,"[[12.49, nan, nan, nan, nan, nan, nan], [7.24, nan, nan, nan, nan, nan, nan]]","[0, 0, 12.49]",00
