,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017,mean_and_cl,anova_p,param_list,trend_class
1946,40484,DRNKANY5,RESP046,71.34,66.12,69.57,68.45,67.94,70.05,71.61,64.8,59.66,63.45,61.43,61.56,63.55,64.47,68.07,62.89,66.51,64.94,64.75,66.8,68.04,1055.0,981.0,1028.0,862.0,1196.0,959.0,832.0,"[[68.07, 62.89, 66.51, 64.94, 64.75, 66.8, 68.04], [64.8, 59.66, 63.45, 61.43, 61.56, 63.55, 64.47]]",1.1102230246251565e-16,"[-1305.6891280760685, 0.3242059771598398, 1314679.6008509428]",-+
1947,40484,_HCVU651,RESP046,88.25,89.14,88.66,90.96,93.67,95.46,95.14,82.49,83.26,83.32,85.12,89.01,91.14,89.8,85.37,86.2,85.99,88.04,91.34,93.3,92.47,995.0,973.0,1001.0,837.0,1152.0,916.0,791.0,"[[85.37, 86.2, 85.99, 88.04, 91.34, 93.3, 92.47], [82.49, 83.26, 83.32, 85.12, 89.01, 91.14, 89.8]]",1.1102230246251565e-16,"[0, 1.3933362645694272, -2717.3423395931145]",0+
1948,40484,_RFHLTH,RESP061,88.18,89.07,90.48,88.82,89.94,89.53,89.62,83.86,84.79,86.72,84.16,85.66,85.07,84.76,86.02,86.93,88.6,86.49,87.8,87.3,87.19,1415.0,1401.0,1428.0,1207.0,1727.0,1334.0,1167.0,"[[86.02, 86.93, 88.6, 86.49, 87.8, 87.3, 87.19], [83.86, 84.79, 86.72, 84.16, 85.66, 85.07, 84.76]]",1.1102230246251565e-16,"[352.2690817219638, -0.08742105396706285, -354785.5295769276]",+-
1949,40484,_RFHYPE5,RESP046,32.92,,32.95,,30.68,,33.63,27.44,,27.55,,25.46,,27.39,30.18,,30.25,,28.07,,30.51,650.0,,604.0,,782.0,,539.0,"[[30.18, nan, 30.25, nan, 28.07, nan, 30.51], [27.44, nan, 27.55, nan, 25.46, nan, 27.39]]",1.1102230246251565e-16,"[0, -0.01867946554393658, 67.46433506783801]",0-
1950,40484,_RFSMOK3,RESP046,21.5,19.36,18.64,20.59,17.42,20.71,16.72,16.16,13.76,13.82,14.67,12.6,14.55,11.34,18.83,16.56,16.23,17.63,15.01,17.63,14.03,261.0,214.0,228.0,202.0,252.0,205.0,172.0,"[[18.83, 16.56, 16.23, 17.63, 15.01, 17.63, 14.03], [16.16, 13.76, 13.82, 14.67, 12.6, 14.55, 11.34]]",1.1102230246251565e-16,"[0, -0.43201786799249364, 886.7984514903363]",0-
1951,40484,_TOTINDA,RESP046,80.82,83.14,80.25,83.15,81.17,84.56,80.91,75.38,78.24,74.73,77.71,75.79,79.54,74.71,78.1,80.69,77.49,80.43,78.48,82.05,77.81,1250.0,1301.0,1186.0,1125.0,1407.0,1248.0,950.0,"[[78.1, 80.69, 77.49, 80.43, 78.48, 82.05, 77.81], [75.38, 78.24, 74.73, 77.71, 75.79, 79.54, 74.71]]",1.1102230246251565e-16,"[0, 0.04937368979677827, -20.317569298512538]",0+
1952,40500,BLOODCHO,RESP046,90.17,,,,,,,80.69,,,,,,,85.43,,,,,,,592.0,,,,,,,"[[85.43, nan, nan, nan, nan, nan, nan], [80.69, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 85.43]",00
1953,40500,Custom_8,Custom_8,50.145578163477964,,,,,,,36.896444545172386,,,,,,,43.521011354325175,,,,,,,242.0,,,,,,,"[[43.521011354325175, nan, nan, nan, nan, nan, nan], [36.896444545172386, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 43.521011354325175]",00
1954,40500,Custom_9,Custom_9,72.00277792890076,,,,,,,49.53722207109925,,,,,,,60.77,,,,,,,365.0,,,,,,,"[[60.77, nan, nan, nan, nan, nan, nan], [49.53722207109925, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 60.77]",00
1955,40500,DIABETE3,RESP046,11.7,,,,,,,6.52,,,,,,,9.11,,,,,,,74.0,,,,,,,"[[9.11, nan, nan, nan, nan, nan, nan], [6.52, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 9.11]",00
1956,40500,DRNKANY5,RESP046,66.41,,,,,,,55.51,,,,,,,60.96,,,,,,,373.0,,,,,,,"[[60.96, nan, nan, nan, nan, nan, nan], [55.51, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 60.96]",00
1957,40500,_HCVU651,RESP046,91.74,,,,,,,82.14,,,,,,,86.94,,,,,,,359.0,,,,,,,"[[86.94, nan, nan, nan, nan, nan, nan], [82.14, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 86.94]",00
1958,40500,_RFHLTH,RESP061,87.07,,,,,,,78.21,,,,,,,82.64,,,,,,,544.0,,,,,,,"[[82.64, nan, nan, nan, nan, nan, nan], [78.21, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 82.64]",00
1959,40500,_RFHYPE5,RESP046,35.62,,,,,,,26.3,,,,,,,30.96,,,,,,,260.0,,,,,,,"[[30.96, nan, nan, nan, nan, nan, nan], [26.3, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 30.96]",00
1960,40500,_RFSMOK3,RESP046,21.18,,,,,,,12.68,,,,,,,16.93,,,,,,,94.0,,,,,,,"[[16.93, nan, nan, nan, nan, nan, nan], [12.68, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 16.93]",00
1961,40500,_TOTINDA,RESP046,83.66,,,,,,,75.46,,,,,,,79.56,,,,,,,513.0,,,,,,,"[[79.56, nan, nan, nan, nan, nan, nan], [75.46, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 79.56]",00
1962,40860,BLOODCHO,RESP046,87.61,,,,,,,78.01,,,,,,,82.81,,,,,,,662.0,,,,,,,"[[82.81, nan, nan, nan, nan, nan, nan], [78.01, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 82.81]",00
1963,40860,Custom_8,Custom_8,52.02295203372145,,,,,,,39.536038426367895,,,,,,,45.779495230044674,,,,,,,288.0,,,,,,,"[[45.779495230044674, nan, nan, nan, nan, nan, nan], [39.536038426367895, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 45.779495230044674]",00
