,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017
0,10020,BLOODCHO,RESP046,84.25,,,,,,,66.49,,,,,,,75.37,,,,,,,452.0,,,,,,
1,10020,Custom_8,Custom_8,0.5674351149404245,,,,,,,0.3666235290823963,,,,,,,0.4670293220114104,,,,,,,189.0,,,,,,
2,10020,Custom_9,Custom_9,74.31525599643345,,,,,,,44.72474400356654,,,,,,,59.519999999999996,,,,,,,327.0,,,,,,
3,10020,DIABETE3,RESP046,14.43,,,,,,,7.77,,,,,,,11.1,,,,,,,83.0,,,,,,
4,10020,DRNKANY5,RESP046,63.45,,,,,,,46.79,,,,,,,55.12,,,,,,,248.0,,,,,,
5,10020,_HCVU651,RESP046,87.77,,,,,,,73.39,,,,,,,80.58,,,,,,,270.0,,,,,,
6,10020,_RFHLTH,RESP061,85.32,,,,,,,75.28,,,,,,,80.3,,,,,,,390.0,,,,,,
7,10020,_RFHYPE5,RESP046,40.19,,,,,,,26.97,,,,,,,33.58,,,,,,,238.0,,,,,,
8,10020,_RFSMOK3,RESP046,20.49,,,,,,,11.91,,,,,,,16.2,,,,,,,101.0,,,,,,
9,10020,_TOTINDA,RESP046,75.34,,,,,,,59.78,,,,,,,67.56,,,,,,,311.0,,,,,,
10,10100,BLOODCHO,RESP046,83.51,,,,89.81,,,69.01,,,,80.55,,,76.26,,,,85.18,,,474.0,,,,517.0,,
11,10100,Custom_8,Custom_8,0.6983120382475045,,,,0.38792383635944305,,,0.4621915022717715,,,,0.2756122049648114,,,0.580251770259638,,,,0.33176802066212724,,,216.0,,,,199.0,,
12,10100,Custom_9,Custom_9,77.72424687385403,,,86.03334687966344,81.23753476018356,,80.0374615818206,46.35575312614597,,,62.24665312033656,58.40246523981644,,51.24253841817941,62.04,,,74.14,69.82000000000001,,65.64,343.0,,,416.0,371.0,,323.0
13,10100,DIABETE3,RESP046,8.4,,,9.41,11.26,,16.08,3.82,,,5.25,5.92,,8.12,6.11,,,7.33,8.59,,12.1,57.0,,,61.0,65.0,,78.0
14,10100,DRNKANY5,RESP046,56.26,,,67.86,64.62,,60.0,41.52,,,57.08,53.64,,45.54,48.89,,,62.47,59.13,,52.77,288.0,,,343.0,309.0,,235.0
15,10100,_HCVU651,RESP046,91.83,,,96.02,93.66,,94.06,78.27,,,85.4,85.12,,82.7,85.05,,,90.71,89.39,,88.38,299.0,,,354.0,303.0,,239.0
16,10100,_RFHLTH,RESP061,85.35,,,87.63,91.53,,90.99,74.29,,,79.67,85.17,,82.49,79.82,,,83.65,88.35,,86.74,448.0,,,514.0,506.0,,427.0
17,10100,_RFHYPE5,RESP046,38.5,,,,33.05,,37.79,25.44,,,,24.19,,25.37,31.97,,,,28.62,,31.58,230.0,,,,219.0,,224.0
18,10100,_RFSMOK3,RESP046,30.65,,,23.99,19.37,,21.86,17.51,,,13.29,10.71,,10.68,24.08,,,18.64,15.04,,16.27,85.0,,,72.0,65.0,,65.0
19,10100,_TOTINDA,RESP046,77.21,,,79.65,79.82,,76.65,64.15,,,68.83,69.82,,61.87,70.68,,,74.24,74.82,,69.26,387.0,,,478.0,410.0,,364.0
20,10380,BLOODCHO,RESP046,,,87.51,,,,,,,78.61,,,,,,,83.06,,,,,,,521.0,,,,
21,10380,Custom_8,Custom_8,,,0.49348863266488835,,,,,,,0.35818485637917613,,,,,,,0.42583674452203224,,,,,,,216.0,,,,
22,10380,Custom_9,Custom_9,,77.6428975308324,74.04442287800715,79.56659220882695,,,,,58.03710246916761,53.03557712199286,57.033407791173055,,,,,67.84,63.540000000000006,68.3,,,,,339.0,372.0,356.0,,,
23,10380,DIABETE3,RESP046,,18.47,18.08,22.21,,,,,11.85,11.42,14.81,,,,,15.16,14.75,18.51,,,,,93.0,123.0,128.0,,,
24,10380,DRNKANY5,RESP046,,29.31,29.16,30.41,,,,,20.45,18.78,20.81,,,,,24.88,23.97,25.61,,,,,114.0,103.0,115.0,,,
25,10380,_HCVU651,RESP046,,95.41,99.4,93.43,,,,,89.25,96.18,85.55,,,,,92.33,97.79,89.49,,,,,361.0,378.0,330.0,,,
26,10380,_RFHLTH,RESP061,,67.27,70.53,71.77,,,,,58.09,60.61,62.45,,,,,62.68,65.57,67.11,,,,,321.0,352.0,333.0,,,
27,10380,_RFHYPE5,RESP046,,,45.27,,,,,,,35.27,,,,,,,40.27,,,,,,,304.0,,,,
28,10380,_RFSMOK3,RESP046,,16.3,16.74,13.84,,,,,9.0,8.62,7.26,,,,,12.65,12.68,10.55,,,,,47.0,52.0,50.0,,,
29,10380,_TOTINDA,RESP046,,57.56,61.58,62.05,,,,,47.88,51.12,51.63,,,,,52.72,56.35,56.84,,,,,279.0,299.0,309.0,,,
30,10420,BLOODCHO,RESP046,85.34,,85.52,,83.87,,,75.34,,74.7,,69.95,,,80.34,,80.11,,76.91,,,676.0,,611.0,,440.0,,
31,10420,Custom_8,Custom_8,0.5439809230389504,,0.5410635439631138,,0.5460871487815347,,,0.40199866371733534,,0.39290225306597104,,0.3703086385023036,,,0.4729897933781429,,0.46698289851454244,,0.45819789364191915,,,277.0,,265.0,,187.0,,
32,10420,Custom_9,Custom_9,73.09290870633761,74.2074688315853,78.32901744523672,,75.77359569163602,,,51.08709129366239,53.15253116841471,54.31098255476327,,48.62640430836398,,,62.09,63.68000000000001,66.32,,62.2,,,467.0,433.0,446.0,,307.0,,
33,10420,DIABETE3,RESP046,11.09,10.66,12.14,,12.71,,,5.69,6.2,6.66,,6.95,,,8.39,8.43,9.4,,9.83,,,87.0,77.0,94.0,,75.0,,
34,10420,DRNKANY5,RESP046,68.54,62.2,59.17,,64.98,,,58.08,52.44,47.81,,52.12,,,63.31,57.32,53.49,,58.55,,,424.0,396.0,343.0,,254.0,,
35,10420,_HCVU651,RESP046,91.29,84.49,91.36,,97.36,,,81.99,73.79,83.24,,89.44,,,86.64,79.14,87.3,,93.4,,,457.0,426.0,371.0,,283.0,,
36,10420,_RFHLTH,RESP061,85.05,83.48,83.73,,89.84,,,76.93,75.44,74.29,,81.52,,,80.99,79.46,79.01,,85.68,,,617.0,591.0,533.0,,405.0,,
37,10420,_RFHYPE5,RESP046,34.82,,35.91,,41.67,,,25.92,,26.47,,30.19,,,30.37,,31.19,,35.93,,,314.0,,298.0,,230.0,,
38,10420,_RFSMOK3,RESP046,31.92,26.06,24.55,,34.8,,,21.84,17.4,15.69,,20.8,,,26.88,21.73,20.12,,27.8,,,162.0,136.0,118.0,,91.0,,
39,10420,_TOTINDA,RESP046,82.87,81.72,80.35,,77.34,,,74.79,73.76,71.03,,63.42,,,78.83,77.74,75.69,,70.38,,,549.0,561.0,459.0,,327.0,,
40,10580,BLOODCHO,RESP046,,,,,86.84,,,,,,,78.56,,,,,,,82.7,,,,,,,842.0,,
41,10580,Custom_8,Custom_8,,,,,0.5190844024477282,,,,,,,0.4095733968267578,,,,,,,0.464328899637243,,,,,,,372.0,,
42,10580,Custom_9,Custom_9,,,,,73.40294134733676,69.27491777717684,74.1672953482488,,,,,55.17705865266323,58.025082222823166,52.3927046517512,,,,,64.28999999999999,63.650000000000006,63.28,,,,,547.0,1749.0,379.0
43,10580,DIABETE3,RESP046,,,,,12.65,10.09,14.18,,,,,7.71,7.43,7.94,,,,,10.18,8.76,11.06,,,,,104.0,342.0,77.0
44,10580,DRNKANY5,RESP046,,,,,62.01,64.32,68.0,,,,,53.27,58.84,57.42,,,,,57.64,61.58,62.71,,,,,524.0,1647.0,355.0
45,10580,_HCVU651,RESP046,,,,,97.51,95.44,95.18,,,,,92.61,92.46,88.08,,,,,95.06,93.95,91.63,,,,,564.0,1804.0,389.0
46,10580,_RFHLTH,RESP061,,,,,90.1,87.64,87.08,,,,,84.34,84.16,79.6,,,,,87.22,85.9,83.34,,,,,801.0,2436.0,519.0
47,10580,_RFHYPE5,RESP046,,,,,35.47,,36.88,,,,,28.07,,27.56,,,,,31.77,,32.22,,,,,371.0,,241.0
48,10580,_RFSMOK3,RESP046,,,,,16.53,18.79,19.89,,,,,10.45,14.63,11.65,,,,,13.49,16.71,15.77,,,,,112.0,408.0,84.0
49,10580,_TOTINDA,RESP046,,,,,78.57,80.18,82.06,,,,,70.49,75.68,73.08,,,,,74.53,77.93,77.57,,,,,628.0,2234.0,439.0
50,10740,BLOODCHO,RESP046,78.13,,77.99,,81.32,,,73.73,,72.69,,74.9,,,75.93,,75.34,,78.11,,,2696.0,,1669.0,,1254.0,,
51,10740,Custom_8,Custom_8,0.47960851249807596,,0.5258928163246244,,0.48725040393322244,,,0.41252898256316456,,0.4417206692076295,,0.39227846560972984,,,0.44606874753062026,,0.4838067427661269,,0.43976443477147614,,,1021.0,,660.0,,500.0,,
52,10740,Custom_9,Custom_9,64.36534249004322,63.85765992248133,66.11938057597072,70.57235981609223,71.0005399805614,71.78077021293308,70.51049380834516,55.09465750995679,55.14234007751867,54.98061942402927,57.68764018390776,55.9994600194386,56.71922978706693,57.549506191654835,59.730000000000004,59.5,60.55,64.13,63.5,64.25,64.03,1887.0,1877.0,1228.0,1056.0,839.0,749.0,1008.0
53,10740,DIABETE3,RESP046,9.66,9.8,11.67,12.95,13.0,11.16,10.82,7.26,7.64,8.29,9.51,9.0,7.52,7.44,8.46,8.72,9.98,11.23,11.0,9.34,9.13,346.0,358.0,223.0,227.0,187.0,154.0,173.0
54,10740,DRNKANY5,RESP046,58.18,53.56,54.6,54.64,55.57,55.86,57.57,53.36,49.14,48.88,48.22,48.39,48.6,51.19,55.77,51.35,51.74,51.43,51.98,52.23,54.38,1627.0,1618.0,1060.0,858.0,717.0,660.0,853.0
55,10740,_HCVU651,RESP046,80.58,78.65,79.21,86.62,90.04,92.49,88.79,75.92,74.23,73.29,80.58,83.54,87.01,83.49,78.25,76.44,76.25,83.6,86.79,89.75,86.14,1898.0,1855.0,1203.0,1071.0,868.0,756.0,923.0
56,10740,_RFHLTH,RESP061,85.35,83.92,83.06,83.51,84.85,81.89,83.26,82.13,80.62,78.44,78.73,79.63,76.37,78.4,83.74,82.27,80.75,81.12,82.24,79.13,80.83,2667.0,2636.0,1687.0,1448.0,1204.0,1032.0,1339.0
57,10740,_RFHYPE5,RESP046,27.49,,29.13,,31.03,,31.2,23.73,,24.51,,25.35,,25.86,25.61,,26.82,,28.19,,28.53,1054.0,,648.0,,517.0,,569.0
58,10740,_RFSMOK3,RESP046,24.39,20.49,21.39,22.17,21.04,19.11,19.18,20.31,16.93,16.89,16.69,15.32,13.39,14.28,22.35,18.71,19.14,19.43,18.18,16.25,16.73,600.0,528.0,366.0,259.0,214.0,161.0,233.0
59,10740,_TOTINDA,RESP046,78.35,82.77,79.81,81.34,84.13,85.23,80.28,74.23,79.43,74.95,76.04,78.61,79.97,74.88,76.29,81.1,77.38,78.69,81.37,82.6,77.58,2328.0,2633.0,1504.0,1431.0,1088.0,1066.0,1211.0
60,10900,BLOODCHO,RESP046,85.13,,86.61,,89.45,,,77.25,,78.45,,77.45,,,81.19,,82.53,,83.45,,,990.0,,883.0,,745.0,,
61,10900,Custom_8,Custom_8,0.4619777015566123,,0.5707431636684203,,0.4699243379164828,,,0.34920594174921354,,0.4453721883247944,,0.31977008988459577,,,0.4055918216529129,,0.5080576759966073,,0.3948472139005393,,,412.0,,361.0,,287.0,,
62,10900,Custom_9,Custom_9,76.18105978077408,72.49037735009475,79.3742114971185,76.5613904651911,82.85304974256242,76.47766196731024,76.19434135377382,56.45894021922594,55.52962264990524,59.68578850288151,56.6386095348089,54.48695025743758,51.202338032689745,51.10565864622618,66.32000000000001,64.00999999999999,69.53,66.6,68.67,63.839999999999996,63.65,703.0,820.0,651.0,718.0,471.0,393.0,544.0
63,10900,DIABETE3,RESP046,15.21,12.37,12.85,14.76,17.07,14.68,14.94,8.93,7.67,7.29,9.32,9.27,7.58,7.92,12.07,10.02,10.07,12.04,13.17,11.13,11.43,130.0,161.0,110.0,162.0,108.0,77.0,117.0
64,10900,DRNKANY5,RESP046,64.05,59.0,59.74,63.61,63.84,65.76,65.24,54.65,50.92,50.52,54.01,50.62,54.32,52.74,59.35,54.96,55.13,58.81,57.23,60.04,58.99,641.0,718.0,556.0,589.0,443.0,369.0,503.0
65,10900,_HCVU651,RESP046,88.76,91.96,89.04,89.33,96.64,95.12,95.71,81.04,86.16,80.54,80.55,87.54,86.42,88.07,84.9,89.06,84.79,84.94,92.09,90.77,91.89,708.0,805.0,634.0,584.0,487.0,422.0,493.0
66,10900,_RFHLTH,RESP061,87.67,86.24,83.0,87.72,86.6,88.43,87.17,81.13,80.12,75.24,81.1,76.6,79.57,78.67,84.4,83.18,79.12,84.41,81.6,84.0,82.92,959.0,1111.0,832.0,898.0,670.0,554.0,704.0
67,10900,_RFHYPE5,RESP046,39.18,,41.14,,42.13,,37.98,30.44,,32.68,,30.49,,27.36,34.81,,36.91,,36.31,,32.67,444.0,,399.0,,320.0,,338.0
68,10900,_RFSMOK3,RESP046,32.71,24.34,24.36,24.35,22.36,20.34,23.46,23.89,17.32,16.6,16.19,12.72,11.92,13.66,28.3,20.83,20.48,20.27,17.54,16.13,18.56,220.0,235.0,168.0,150.0,128.0,104.0,123.0
69,10900,_TOTINDA,RESP046,73.55,82.19,77.34,79.87,76.81,77.9,83.66,64.61,75.83,69.26,72.19,64.57,68.18,74.3,69.08,79.01,73.3,76.03,70.69,73.04,78.98,785.0,1040.0,694.0,803.0,518.0,474.0,604.0
70,11244,Custom_9,Custom_9,,68.49159257472729,,,,,,,50.90840742527271,,,,,,,59.7,,,,,,,572.0,,,,,
71,11244,DIABETE3,RESP046,,11.86,,,,,,,7.04,,,,,,,9.45,,,,,,,113.0,,,,,
72,11244,DRNKANY5,RESP046,,65.79,,,,,,,56.69,,,,,,,61.24,,,,,,,541.0,,,,,
73,11244,_HCVU651,RESP046,,85.95,,,,,,,78.89,,,,,,,82.42,,,,,,,579.0,,,,,
74,11244,_RFHLTH,RESP061,,89.73,,,,,,,84.25,,,,,,,86.99,,,,,,,886.0,,,,,
75,11244,_RFSMOK3,RESP046,,12.7,,,,,,,7.22,,,,,,,9.96,,,,,,,84.0,,,,,
76,11244,_TOTINDA,RESP046,,87.54,,,,,,,81.16,,,,,,,84.35,,,,,,,789.0,,,,,
77,11260,BLOODCHO,RESP046,78.03,,80.01,,80.85,,,70.85,,73.93,,72.73,,,74.44,,76.97,,76.79,,,991.0,,1251.0,,889.0,,
78,11260,Custom_8,Custom_8,0.49977487440842105,,0.5362452287973574,,0.5243682209250969,,,0.38953194987959616,,0.43868006677234517,,0.40049178688842035,,,0.4446534121440086,,0.48746264778485127,,0.46243000390675865,,,367.0,,507.0,,374.0,,
79,11260,Custom_9,Custom_9,74.41208198363394,71.4414810193246,73.5289748487511,70.5255680662946,77.45698495019434,75.80926838491956,74.18437720897256,58.84791801636605,58.67851898067541,59.971025151248895,57.89443193370542,59.583015049805674,55.17073161508046,54.555622791027446,66.63,65.06,66.75,64.21000000000001,68.52000000000001,65.49000000000001,64.37,785.0,931.0,981.0,1099.0,702.0,666.0,648.0
80,11260,DIABETE3,RESP046,11.44,9.48,9.52,10.03,10.44,9.59,9.39,6.62,6.14,6.04,6.89,5.78,5.17,5.47,9.03,7.81,7.78,8.46,8.11,7.38,7.43,118.0,135.0,131.0,178.0,105.0,120.0,109.0
81,11260,DRNKANY5,RESP046,62.82,62.25,59.84,61.49,61.78,62.87,64.01,55.1,55.75,53.22,55.37,52.88,53.03,54.91,58.96,59.0,56.53,58.43,57.33,57.95,59.46,686.0,867.0,842.0,1009.0,592.0,560.0,576.0
82,11260,_HCVU651,RESP046,82.44,83.61,83.95,85.93,84.43,92.55,91.43,75.7,78.17,78.07,80.75,75.53,86.01,84.97,79.07,80.89,81.01,83.34,79.98,89.28,88.2,834.0,1004.0,1002.0,1176.0,662.0,653.0,638.0
83,11260,_RFHLTH,RESP061,86.85,88.38,88.37,88.77,89.39,89.54,84.7,80.85,84.14,83.83,84.81,84.25,84.02,77.02,83.85,86.26,86.1,86.79,86.82,86.78,80.86,1061.0,1260.0,1300.0,1533.0,887.0,857.0,846.0
84,11260,_RFHYPE5,RESP046,32.2,,32.18,,30.56,,36.09,25.74,,26.46,,23.62,,28.13,28.97,,29.32,,27.09,,32.11,439.0,,506.0,,382.0,,394.0
85,11260,_RFSMOK3,RESP046,22.64,20.64,22.21,20.55,19.52,18.77,23.82,16.6,15.62,16.77,15.85,12.94,12.15,15.66,19.62,18.13,19.49,18.2,16.23,15.46,19.74,244.0,262.0,274.0,286.0,146.0,149.0,151.0
86,11260,_TOTINDA,RESP046,82.03,85.76,81.85,84.72,80.44,86.11,85.18,76.07,80.98,76.17,80.22,72.44,77.77,78.56,79.05,83.37,79.01,82.47,76.44,81.94,81.87,916.0,1221.0,1129.0,1464.0,773.0,830.0,752.0
87,11700,BLOODCHO,RESP046,88.98,,,,,,,77.66,,,,,,,83.32,,,,,,,518.0,,,,,,
88,11700,Custom_8,Custom_8,0.5534950582061469,,,,,,,0.3944166076603918,,,,,,,0.47395583293326937,,,,,,,229.0,,,,,,
89,11700,Custom_9,Custom_9,68.31075850200516,68.1336549756192,,,,,,46.02924149799485,49.3063450243808,,,,,,57.17,58.72,,,,,,304.0,327.0,,,,,
90,11700,DIABETE3,RESP046,11.14,10.76,,,,,,6.08,5.9,,,,,,8.61,8.33,,,,,,73.0,67.0,,,,,
91,11700,DRNKANY5,RESP046,51.66,54.71,,,,,,38.76,44.41,,,,,,45.21,49.56,,,,,,233.0,271.0,,,,,
92,11700,_HCVU651,RESP046,80.21,78.05,,,,,,65.55,66.17,,,,,,72.88,72.11,,,,,,246.0,276.0,,,,,
93,11700,_RFHLTH,RESP061,86.18,87.13,,,,,,77.86,80.11,,,,,,82.02,83.62,,,,,,445.0,482.0,,,,,
94,11700,_RFHYPE5,RESP046,34.49,,,,,,,24.89,,,,,,,29.69,,,,,,,242.0,,,,,,
95,11700,_RFSMOK3,RESP046,28.47,27.91,,,,,,16.95,18.61,,,,,,22.71,23.26,,,,,,93.0,99.0,,,,,
96,11700,_TOTINDA,RESP046,80.26,82.55,,,,,,69.6,74.79,,,,,,74.93,78.67,,,,,,420.0,452.0,,,,,
97,12060,BLOODCHO,RESP046,83.38,,82.8,,86.02,,,79.06,,78.68,,80.96,,,81.22,,80.74,,83.49,,,3542.0,,3018.0,,1793.0,,
98,12060,Custom_8,Custom_8,0.4582471909061172,,0.47814383310049413,,0.4363305508225897,,,0.39991582312983454,,0.4188093499562312,,0.3654421165627259,,,0.42908150701797587,,0.44847659152836267,,0.4008863336926578,,,1476.0,,1226.0,,737.0,,
99,12060,Custom_9,Custom_9,64.91961788799021,66.36542770512978,67.15446171696736,68.76471350812169,68.64133972264241,71.15381208949037,68.52012896660393,55.76038211200978,55.43457229487024,58.005538283032635,58.55528649187831,56.39866027735758,60.106187910509625,58.439871033396074,60.339999999999996,60.900000000000006,62.58,63.66,62.519999999999996,65.63,63.480000000000004,2350.0,1498.0,2071.0,1641.0,1181.0,1445.0,1671.0
100,12060,DIABETE3,RESP046,9.26,10.18,10.76,11.27,10.28,12.13,11.66,7.34,7.56,8.32,8.53,7.58,9.43,9.04,8.3,8.87,9.54,9.9,8.93,10.78,10.35,501.0,299.0,433.0,356.0,263.0,345.0,365.0
101,12060,DRNKANY5,RESP046,59.97,54.58,54.43,56.63,59.44,54.88,56.15,55.31,49.18,49.81,51.61,53.48,49.62,51.41,57.64,51.88,52.12,54.12,56.46,52.25,53.78,1953.0,1246.0,1705.0,1380.0,1046.0,1167.0,1450.0
102,12060,_HCVU651,RESP046,75.21,77.09,76.86,80.45,85.72,85.27,82.83,70.15,71.41,72.12,75.39,79.88,80.61,78.87,72.68,74.25,74.49,77.92,82.8,82.94,80.85,2339.0,1440.0,2105.0,1583.0,1189.0,1384.0,1644.0
103,12060,_RFHLTH,RESP061,85.71,88.27,85.37,86.49,88.52,86.01,85.65,82.27,84.79,82.03,82.89,84.8,82.33,82.31,83.99,86.53,83.7,84.69,86.66,84.17,83.98,3319.0,2139.0,2907.0,2339.0,1727.0,2026.0,2435.0
104,12060,_RFHYPE5,RESP046,31.24,,32.63,,34.14,,32.84,27.4,,28.83,,29.2,,28.8,29.32,,30.73,,31.67,,30.82,1582.0,,1332.0,,864.0,,1105.0
105,12060,_RFSMOK3,RESP046,19.59,19.49,17.99,16.54,17.55,15.88,16.62,15.91,15.17,14.35,12.7,13.19,12.16,13.24,17.75,17.33,16.17,14.62,15.37,14.02,14.93,563.0,360.0,438.0,307.0,253.0,280.0,369.0
106,12060,_TOTINDA,RESP046,78.58,83.08,77.99,81.99,78.33,75.55,74.4,74.58,78.96,73.95,78.11,72.89,71.01,70.16,76.58,81.02,75.97,80.05,75.61,73.28,72.28,2913.0,1972.0,2423.0,2190.0,1407.0,1793.0,1912.0
107,12100,BLOODCHO,RESP046,88.54,,,,,,,80.2,,,,,,,84.37,,,,,,,961.0,,,,,,
108,12100,Custom_8,Custom_8,0.5197129129827777,,,,,,,0.40857913395333684,,,,,,,0.4641460234680573,,,,,,,426.0,,,,,,
109,12100,Custom_9,Custom_9,66.83208051844817,65.55838122946685,,,,,,50.487919481551835,47.52161877053315,,,,,,58.66,56.54,,,,,,631.0,601.0,,,,,
110,12100,DIABETE3,RESP046,12.66,11.96,,,,,,8.0,7.6,,,,,,10.33,9.78,,,,,,144.0,133.0,,,,,
111,12100,DRNKANY5,RESP046,59.76,61.91,,,,,,50.12,52.65,,,,,,54.94,57.28,,,,,,559.0,554.0,,,,,
112,12100,_HCVU651,RESP046,84.15,83.21,,,,,,74.11,74.07,,,,,,79.13,78.64,,,,,,612.0,546.0,,,,,
113,12100,_RFHLTH,RESP061,85.2,86.47,,,,,,78.54,80.59,,,,,,81.87,83.53,,,,,,864.0,830.0,,,,,
114,12100,_RFHYPE5,RESP046,39.46,,,,,,,31.34,,,,,,,35.4,,,,,,,460.0,,,,,,
115,12100,_RFSMOK3,RESP046,27.12,25.9,,,,,,18.34,18.1,,,,,,22.73,22.0,,,,,,188.0,180.0,,,,,
116,12100,_TOTINDA,RESP046,78.53,77.78,,,,,,70.15,70.38,,,,,,74.34,74.08,,,,,,746.0,722.0,,,,,
117,12260,BLOODCHO,RESP046,87.76,,89.33,,87.05,,,77.06,,81.65,,73.61,,,82.41,,85.49,,80.33,,,1109.0,,823.0,,693.0,,
118,12260,Custom_8,Custom_8,0.5186073125469665,,0.516385198276632,,0.5909125076028431,,,0.3912337261619282,,0.39249303309545835,,0.4089630059039414,,,0.45492051935444733,,0.45443911568604517,,0.49993775675339225,,,526.0,,395.0,,339.0,,
119,12260,Custom_9,Custom_9,75.62277004994785,77.6586749693798,82.2103762401833,77.23960716676696,76.14095440255757,77.1029830332578,82.81731648203302,53.05722995005216,52.98132503062018,60.14962375981672,53.82039283323304,50.679045597442425,52.99701696674222,58.26268351796696,64.34,65.32,71.18,65.53,63.41,65.05000000000001,70.53999999999999,770.0,633.0,621.0,576.0,508.0,543.0,567.0
120,12260,DIABETE3,RESP046,15.47,13.81,18.83,21.27,18.04,11.77,16.59,9.71,8.37,11.27,12.25,10.28,6.71,10.31,12.59,11.09,15.05,16.76,14.16,9.24,13.45,182.0,162.0,159.0,156.0,144.0,120.0,166.0
121,12260,DRNKANY5,RESP046,55.02,56.82,51.76,51.43,51.87,56.48,52.5,44.0,44.9,41.56,39.75,38.39,44.32,41.18,49.51,50.86,46.66,45.59,45.13,50.4,46.84,527.0,447.0,405.0,375.0,331.0,392.0,358.0
122,12260,_HCVU651,RESP046,75.15,80.48,87.03,83.75,91.44,89.12,87.27,61.93,68.1,78.25,70.43,78.34,77.24,76.85,68.54,74.29,82.64,77.09,84.89,83.18,82.06,671.0,527.0,499.0,486.0,421.0,450.0,414.0
123,12260,_RFHLTH,RESP061,83.74,86.46,82.57,84.11,85.05,87.32,86.0,75.98,78.26,74.77,74.31,75.69,79.52,77.46,79.86,82.36,78.67,79.21,80.37,83.42,81.73,936.0,803.0,714.0,691.0,627.0,678.0,670.0
124,12260,_RFHYPE5,RESP046,41.29,,47.32,,43.17,,44.37,31.99,,37.64,,31.25,,33.99,36.64,,42.48,,37.21,,39.18,593.0,,472.0,,393.0,,424.0
125,12260,_RFSMOK3,RESP046,27.86,27.84,22.97,25.95,23.71,23.58,21.15,17.82,17.5,14.65,16.15,13.55,14.1,12.33,22.84,22.67,18.81,21.05,18.63,18.84,16.74,202.0,162.0,124.0,146.0,122.0,123.0,95.0
126,12260,_TOTINDA,RESP046,75.91,80.4,79.33,80.85,76.46,75.46,75.63,65.57,71.22,70.75,71.13,63.68,64.96,65.75,70.74,75.81,75.04,75.99,70.07,70.21,70.69,833.0,743.0,622.0,679.0,528.0,583.0,529.0
127,12300,BLOODCHO,RESP046,88.23,,,,,,,81.17,,,,,,,84.7,,,,,,,1001.0,,,,,,
128,12300,Custom_8,Custom_8,0.5251123975314888,,,,,,,0.42742597318870024,,,,,,,0.4762691853600945,,,,,,,439.0,,,,,,
129,12300,Custom_9,Custom_9,76.24770540740927,80.51442327509241,,,,,,60.21229459259071,62.7855767249076,,,,,,68.22999999999999,71.65,,,,,,739.0,565.0,,,,,
130,12300,DIABETE3,RESP046,10.96,13.09,,,,,,7.16,8.59,,,,,,9.06,10.84,,,,,,129.0,110.0,,,,,
131,12300,DRNKANY5,RESP046,62.69,61.17,,,,,,54.97,53.05,,,,,,58.83,57.11,,,,,,587.0,460.0,,,,,
132,12300,_HCVU651,RESP046,89.6,89.86,,,,,,82.38,82.92,,,,,,85.99,86.39,,,,,,688.0,531.0,,,,,
133,12300,_RFHLTH,RESP061,85.07,85.38,,,,,,79.03,79.1,,,,,,82.05,82.24,,,,,,904.0,677.0,,,,,
134,12300,_RFHYPE5,RESP046,37.88,,,,,,,30.98,,,,,,,34.43,,,,,,,450.0,,,,,,
135,12300,_RFSMOK3,RESP046,28.77,23.84,,,,,,21.29,16.98,,,,,,25.03,20.41,,,,,,207.0,154.0,,,,,
136,12300,_TOTINDA,RESP046,79.86,80.45,,,,,,73.44,73.39,,,,,,76.65,76.92,,,,,,817.0,647.0,,,,,
137,12420,BLOODCHO,RESP046,82.24,,85.17,,79.93,,,73.9,,77.61,,73.19,,,78.07,,81.39,,76.56,,,1109.0,,803.0,,1634.0,,
138,12420,Custom_8,Custom_8,0.5509329763677506,,0.4811752775671697,,0.45158062360612927,,,0.4184534716916834,,0.36315449267487476,,0.35615187378154056,,,0.484693224029717,,0.42216488512102224,,0.4038662486938349,,,486.0,,313.0,,661.0,,
139,12420,Custom_9,Custom_9,68.08501015669744,69.89338511311243,68.53411704815555,67.23137420839386,69.43368725303333,70.64713636251983,71.14070637422932,50.85498984330256,52.72661488688758,50.045882951844455,55.36862579160613,54.86631274696669,53.99286363748017,53.01929362577067,59.47,61.31,59.29,61.3,62.150000000000006,62.32,62.08,734.0,778.0,513.0,1293.0,1075.0,904.0,928.0
140,12420,DIABETE3,RESP046,9.05,9.31,10.65,9.21,9.92,12.66,12.06,5.21,5.47,6.07,6.51,6.54,8.08,7.12,7.13,7.39,8.36,7.86,8.23,10.37,9.59,132.0,142.0,94.0,252.0,217.0,205.0,196.0
