,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017
1475,33500,_HCVU651,RESP046,89.38,,93.69,93.16,95.3,91.5,91.22,79.86,,86.51,84.66,87.5,80.8,79.96,84.62,,90.1,88.91,91.4,86.15,85.59,339.0,,424.0,343.0,307.0,369.0,341.0
1476,33500,_RFHLTH,RESP061,90.63,,90.45,90.61,87.84,87.01,89.02,83.73,,84.49,82.97,78.0,78.35,81.54,87.18,,87.47,86.79,82.92,82.68,85.28,463.0,,562.0,508.0,431.0,525.0,538.0
1477,33500,_RFHYPE5,RESP046,32.91,,31.98,,32.9,,35.46,24.17,,23.94,,22.86,,25.98,28.54,,27.96,,27.88,,30.72,186.0,,225.0,,216.0,,301.0
1478,33500,_RFSMOK3,RESP046,29.0,,26.26,29.4,23.99,26.24,23.8,19.44,,17.48,18.14,13.29,16.36,14.36,24.22,,21.87,23.77,18.64,21.3,19.08,99.0,,113.0,102.0,78.0,103.0,102.0
1479,33500,_TOTINDA,RESP046,73.15,,77.12,81.3,75.03,79.62,74.71,63.35,,67.9,71.0,62.79,70.06,63.49,68.25,,72.51,76.15,68.91,74.84,69.1,348.0,,436.0,446.0,336.0,462.0,415.0
1480,33540,BLOODCHO,RESP046,74.24,,,,,,,64.24,,,,,,,69.24,,,,,,,640.0,,,,,,
1481,33540,Custom_8,Custom_8,0.5678079369864466,,,,,,,0.4076397810955871,,,,,,,0.48772385904101684,,,,,,,253.0,,,,,,
1482,33540,Custom_9,Custom_9,62.3229350095143,65.93114259434837,,,,,,42.7970649904857,50.08885740565164,,,,,,52.56,58.010000000000005,,,,,,432.0,448.0,,,,,
1483,33540,DIABETE3,RESP046,5.42,4.65,,,,,,2.36,2.15,,,,,,3.89,3.4,,,,,,44.0,40.0,,,,,
1484,33540,DRNKANY5,RESP046,72.64,68.62,,,,,,63.38,60.3,,,,,,68.01,64.46,,,,,,485.0,477.0,,,,,
1485,33540,_HCVU651,RESP046,81.86,78.15,,,,,,72.56,68.67,,,,,,77.21,73.41,,,,,,462.0,422.0,,,,,
1486,33540,_RFHLTH,RESP061,90.09,89.81,,,,,,84.09,84.55,,,,,,87.09,87.18,,,,,,672.0,656.0,,,,,
1487,33540,_RFHYPE5,RESP046,31.95,,,,,,,23.29,,,,,,,27.62,,,,,,,257.0,,,,,,
1488,33540,_RFSMOK3,RESP046,27.39,23.65,,,,,,18.61,16.35,,,,,,23.0,20.0,,,,,,139.0,126.0,,,,,
1489,33540,_TOTINDA,RESP046,85.08,86.45,,,,,,77.9,80.03,,,,,,81.49,83.24,,,,,,606.0,640.0,,,,,
1490,33660,BLOODCHO,RESP046,82.77,,,,,,,70.77,,,,,,,76.77,,,,,,,521.0,,,,,,
1491,33660,Custom_8,Custom_8,0.5884964947895319,,,,,,,0.42544124130529687,,,,,,,0.5069688680474144,,,,,,,252.0,,,,,,
1492,33660,Custom_9,Custom_9,83.84875094744817,79.44202204050454,,,,,,59.11124905255182,56.937977959495456,,,,,,71.47999999999999,68.19,,,,,,400.0,561.0,,,,,
1493,33660,DIABETE3,RESP046,12.97,15.16,,,,,,7.21,9.56,,,,,,10.09,12.36,,,,,,87.0,159.0,,,,,
1494,33660,DRNKANY5,RESP046,50.5,49.87,,,,,,38.78,38.81,,,,,,44.64,44.34,,,,,,226.0,300.0,,,,,
1495,33660,_HCVU651,RESP046,82.47,79.63,,,,,,70.09,67.33,,,,,,76.28,73.48,,,,,,306.0,388.0,,,,,
1496,33660,_RFHLTH,RESP061,82.44,78.88,,,,,,73.38,69.7,,,,,,77.91,74.29,,,,,,439.0,591.0,,,,,
1497,33660,_RFHYPE5,RESP046,48.02,,,,,,,36.92,,,,,,,42.47,,,,,,,316.0,,,,,,
1498,33660,_RFSMOK3,RESP046,33.7,30.75,,,,,,22.02,20.67,,,,,,27.86,25.71,,,,,,119.0,151.0,,,,,
1499,33660,_TOTINDA,RESP046,73.2,78.24,,,,,,62.26,69.02,,,,,,67.73,73.63,,,,,,385.0,571.0,,,,,
1500,33740,BLOODCHO,RESP046,81.71,,,,,,,68.47,,,,,,,75.09,,,,,,,441.0,,,,,,
1501,33740,Custom_8,Custom_8,0.717122239858404,,,,,,,0.5181953789989672,,,,,,,0.6176588094286856,,,,,,,226.0,,,,,,
1502,33740,Custom_9,Custom_9,83.31677579799717,,,,,,,55.62322420200284,,,,,,,69.47,,,,,,,335.0,,,,,,
1503,33740,DIABETE3,RESP046,16.56,,,,,,,8.44,,,,,,,12.5,,,,,,,78.0,,,,,,
1504,33740,DRNKANY5,RESP046,44.31,,,,,,,31.85,,,,,,,38.08,,,,,,,162.0,,,,,,
1505,33740,_HCVU651,RESP046,76.91,,,,,,,62.95,,,,,,,69.93,,,,,,,239.0,,,,,,
1506,33740,_RFHLTH,RESP061,81.91,,,,,,,72.23,,,,,,,77.07,,,,,,,364.0,,,,,,
1507,33740,_RFHYPE5,RESP046,44.79,,,,,,,33.31,,,,,,,39.05,,,,,,,269.0,,,,,,
1508,33740,_RFSMOK3,RESP046,36.89,,,,,,,24.27,,,,,,,30.58,,,,,,,112.0,,,,,,
1509,33740,_TOTINDA,RESP046,70.94,,,,,,,59.1,,,,,,,65.02,,,,,,,308.0,,,,,,
1510,33860,BLOODCHO,RESP046,85.62,,,,,,,74.72,,,,,,,80.17,,,,,,,449.0,,,,,,
1511,33860,Custom_8,Custom_8,0.503318817201146,,,,,,,0.35535649775457306,,,,,,,0.42933765747785957,,,,,,,184.0,,,,,,
1512,33860,Custom_9,Custom_9,74.30802555907644,,,79.66521978930922,,,,51.77197444092356,,,54.75478021069079,,,,63.04,,,67.21000000000001,,,,334.0,,,348.0,,,
1513,33860,DIABETE3,RESP046,15.48,18.04,,15.11,,,,9.28,10.86,,8.79,,,,12.38,14.45,,11.95,,,,87.0,101.0,,91.0,,,
1514,33860,DRNKANY5,RESP046,52.88,46.14,,53.89,,,,40.72,34.34,,41.77,,,,46.8,40.24,,47.83,,,,203.0,189.0,,201.0,,,
1515,33860,_HCVU651,RESP046,83.99,84.9,,94.36,,,,71.05,72.78,,86.64,,,,77.52,78.84,,90.5,,,,305.0,291.0,,297.0,,,
1516,33860,_RFHLTH,RESP061,81.61,82.94,,81.83,,,,72.17,74.04,,72.57,,,,76.89,78.49,,77.2,,,,384.0,387.0,,368.0,,,
1517,33860,_RFHYPE5,RESP046,40.14,,,,,,,29.94,,,,,,,35.04,,,,,,,232.0,,,,,,
1518,33860,_RFSMOK3,RESP046,29.04,28.41,,26.33,,,,18.54,17.87,,16.05,,,,23.79,23.14,,21.19,,,,104.0,99.0,,84.0,,,
1519,33860,_TOTINDA,RESP046,75.52,77.95,,80.88,,,,64.74,67.83,,71.44,,,,70.13,72.89,,76.16,,,,356.0,373.0,,372.0,,,
1520,33874,BLOODCHO,RESP046,,,89.95,,89.77,,,,,83.91,,79.47,,,,,86.93,,84.62,,,,,854.0,,457.0,,
1521,33874,Custom_8,Custom_8,,,0.4730558134588414,,0.4842412342750386,,,,,0.3807345926150111,,0.35102229680508434,,,,,0.42689520303692624,,0.4176317655400615,,,,,342.0,,173.0,,
1522,33874,Custom_9,Custom_9,,,68.5549317118812,66.2192689745966,75.36348552790186,67.56964839071205,72.70118767190783,,,53.5450682881188,49.1207310254034,53.09651447209815,48.23035160928796,51.81881232809218,,,61.05,57.67,64.23,57.9,62.260000000000005,,,556.0,456.0,302.0,338.0,357.0
1523,33874,DIABETE3,RESP046,,10.14,8.68,9.26,11.92,13.41,10.6,,6.06,5.12,5.34,5.96,7.69,5.0,,8.1,6.9,7.3,8.94,10.55,7.8,,117.0,76.0,71.0,46.0,63.0,45.0
1524,33874,DRNKANY5,RESP046,,69.47,70.28,71.02,66.59,74.3,72.26,,62.93,62.72,62.48,55.33,64.78,62.46,,66.2,66.5,66.75,60.96,69.54,67.36,,846.0,636.0,513.0,319.0,419.0,425.0
1525,33874,_HCVU651,RESP046,,91.44,91.2,95.13,98.59,96.75,96.28,,84.94,85.68,88.43,92.59,90.71,90.04,,88.19,88.44,91.78,95.59,93.73,93.16,,843.0,605.0,495.0,356.0,421.0,431.0
1526,33874,_RFHLTH,RESP061,,89.77,90.4,92.17,88.37,89.75,91.44,,85.19,85.58,87.11,79.99,82.77,84.82,,87.48,87.99,89.64,84.18,86.26,88.13,,1135.0,844.0,707.0,444.0,520.0,546.0
1527,33874,_RFHYPE5,RESP046,,,35.56,,37.71,,35.97,,,28.78,,27.59,,26.87,,,32.17,,32.65,,31.42,,,359.0,,167.0,,189.0
1528,33874,_RFSMOK3,RESP046,,19.49,21.87,16.28,13.05,16.82,12.82,,13.29,15.75,10.12,6.67,9.72,7.14,,16.39,18.81,13.2,9.86,13.27,9.98,,182.0,157.0,94.0,54.0,63.0,61.0
1529,33874,_TOTINDA,RESP046,,84.33,81.3,86.83,81.18,86.73,86.12,,79.03,74.6,80.63,71.1,79.47,78.32,,81.68,77.95,83.73,76.14,83.1,82.22,,1069.0,715.0,675.0,385.0,500.0,490.0
1530,34820,BLOODCHO,RESP046,82.15,,85.16,,86.77,,,72.39,,76.88,,79.13,,,77.27,,81.02,,82.95,,,692.0,,668.0,,890.0,,
