,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1627,35820,_RFHYPE5,RESP046,"[[32.09, nan, 34.76, nan, 31.79, nan, 32.76], [27.95, nan, 30.37, nan, 27.65, nan, 28.37]]","[0, -0.05862075476088991, 150.9689286608287, 2011, 2017, 33.0825908366791, 32.73086630811376, -0.05862075476088991, -0.05862075476088991]",0+
1628,35820,_RFSMOK3,RESP046,"[[25.15, 16.18, 19.05, 25.03, 17.88, 23.58, 19.26], [20.7, 11.67, 15.03, 21.36, 14.31, 18.64, 15.07]]","[0, -0.04492278825389777, 111.47020940148604, 2011, 2017, 21.130482222897626, 20.860945493374246, -0.04492278825389777, -0.04492278825389777]",0+
1629,35820,_TOTINDA,RESP046,"[[71.38, 77.5, 72.03, 75.53, 72.23, 75.7, 69.56], [67.03, 72.62, 67.54, 72.32, 68.04, 71.51, 65.05]]","[0, -0.4093830350350205, 897.827689374979, 2011, 2017, 74.55840591955268, 72.10210770934259, -0.4093830350350205, -0.4093830350350205]",0-
1630,35840,BLOODCHO,RESP046,"[[nan, nan, 84.15, nan, nan, nan, nan], [nan, nan, 80.97, nan, nan, nan, nan]]","[0, 0, 84.15, 2013, 2013, 84.15, 84.15, 0, 0]",00
1631,35840,Custom_8,Custom_8,"[[nan, nan, 55.97147950089126, nan, nan, nan, nan], [nan, nan, 50.87705382131088, nan, nan, nan, nan]]","[0, 0, 55.97147950089126, 2013, 2013, 55.97147950089126, 55.97147950089126, 0, 0]",00
1632,35840,Custom_9,Custom_9,"[[nan, nan, nan, 60.53, nan, 59.980000000000004, 63.01], [nan, nan, nan, 47.47986590107213, nan, 51.97415213734361, 52.58808079094834]]","[0, 0.6757619131596754, -1300.6664462320355, 2014, 2017, 60.31804687155068, 62.34533261102979, 0.6757619131596754, 0.6757619131596754]",0-
1633,35840,DIABETE3,RESP046,"[[nan, nan, 10.52, 9.45, nan, 11.13, 9.12], [nan, nan, 8.17, 6.51, nan, 8.74, 6.32]]","[0, -0.1209752548195553, 253.68862823875546, 2013, 2017, 10.165440286990645, 9.681539267712424, -0.1209752548195553, -0.1209752548195553]",0+
1634,35840,DRNKANY5,RESP046,"[[nan, nan, 65.01, 55.33, nan, 63.07, 58.56], [nan, nan, 61.4, 49.18, nan, 59.11, 53.54]]","[0, 0.11626999419413928, -175.37129913303147, 2013, 2017, 58.68019917977088, 59.145279156547446, 0.11626999419413928, 0.11626999419413928]",0-
1635,35840,_HCVU651,RESP046,"[[nan, nan, 68.47, 78.55, nan, 81.37, 75.65], [nan, nan, 63.61, 70.96, nan, 76.65, 69.89]]","[-2.667553614272643, 10751.949260642565, -10834227.12725461, 2013, 2017, 68.67282531037927, 75.5056058075279, 12.37840958090419, -8.962019333275748]",+-
1636,35840,_RFHLTH,RESP061,"[[nan, nan, 79.99, 81.89, nan, 83.14, 85.88], [nan, nan, 76.85, 77.13, nan, 80.02, 82.53]]","[0, 1.2762020443089201, -2488.699151261944, 2013, 2017, 80.29556393191251, 85.40037210914807, 1.2762020443089201, 1.2762020443089201]",0+
